key,text,notes,english
sheep_goat,"D'Awunner vun der Äerd wäerte beurteelt ginn, Schof a Geessen trennen (Matthäus 25:31-33)",end of GT,"Earth’s inhabitants will be judged, separating sheep and goats (Matthew 25:31-33)"
annointed,Versammlung vun de Kinnekräicher (Matthäus 24:31; 1 Korinthians 15:50-53; 1 Thessalonians 4:15-17),end of GT,Gathering of Kingdom rulers (Matthew 24:31; 1 Corinthians 15:50-53; 1 Thessalonians 4:15-17)
armageddon,"Schluecht vu Armageddon (Offenbarung 16:14, 16; Jesaja 13:9; 2 Peter 3:12)",end of system of things,"Battle of Armageddon (Revelation 16:14, 16; Isaiah 13:9; 2 Peter 3:12)"
millenium,"Gottes Kinnekräich fänkt seng 1000-Joer Herrschaft un (Offenbarung 5:9, 10; 20:4, 6)",,"God’s Kingdom begins its 1000-year reign (Revelation 5:9, 10; 20:4, 6)"
great_crowd,"Eng grouss Mass iwwerlieft Armageddon (Offenbarung 7:9, 14; Psalm 37:9-11)",,"A great crowd survives Armageddon (Revelation 7:9, 14; Psalm 37:9-11)"
world_population,Weltbevëlkerung a Milliarden an de leschten 2000 Joer,,World population in billions in the last 2000 years
607BCE,607 B.C.E.,accommodate for language,607 B.C.E.
539BCE,539 B.C.E.,systems in style:,539 B.C.E.
537BCE,537 B.C.E.,>>year 537 before time<<,537 B.C.E.
331BCE,331 B.C.E.,so they need a word,331 B.C.E.
63BCE,63 B.C.E.,prior to the year,63 B.C.E.
70CE,70 C.E.,and something,70 C.E.
1914CE,1914-1918 C.E.,after the year,1914-1918 C.E.
khmer_empire,804 - 1431 CE.,,804 – 1431 C.E.
khmer_empire_c,Khmer Empire - Angkor Period,,Khmer Empire - Angkor period
byzantine_empire,330-1453 C.E.,,330-1453 C.E.
byzantine_empire_c,Byzantinescht Räich,,Byzantine Empire
ottoman_empire,1299 - 1922 C.E.,,1299 – 1922 C.E.
ottoman_empire_c,Osmanescht Räich,,Ottoman Empire
holy_roman_empire,800 - 924 CE.,,800 – 924 C.E.
holy_roman_empire2,862 - 1806 CE.,,862 – 1806 C.E.
holy_roman_empire_c,Hellege Réimesche Räich - no 1512 Hellege Réimesche Räich vun der däitscher Natioun,,Holy Roman Empire – after 1512 Holy Roman Empire of the German Nation
mongol_empire,Mongolescht Räich 1206 - 1294 C.E.,,Mongol Empire 1206 – 1294 C.E.
Genghis,Dschingis Khan,,Genghis Khan
maya_classic,250-950,,250-950
maya_classic_c,Maya Zivilisatioun - klassesch Period,,Maya civilization – classic period
maya_postclassic,950-1539,,950-1539
maya_postclassic_c,Maya Zivilisatioun - postclassic Period,,Maya civilization – postclassic period
inca_empire,1438 - 1533 CE.,,1438 – 1533 C.E.
inca_empire_c,Inca Räich,,Inca empire
gupta_empire,319 - 550 C.E.,,319 – 550 C.E.
gupta_empire_c,Gupta Räich,,Gupta empire
Teotihuacan,"gréisste Stad an Amerika, Pyramiden bauen c. 200 C.E.",,"largest city in the Americas, pyramids build c. 200 C.E."
Teotihuacan_c,Teotihuacan,,Teotihuacan
Dionysius_Exiguus,"Dionysius Exiguus, Erfinder vum Anno Domini",,"Dionysius Exiguus, inventor of Anno Domini"
Umayyad,661 - 750 CE.,,661 – 750 C.E.
Umayyad_c,Umayyad,,Umayyad
Abbasid,750 - 1258 C.E.,,750 – 1258 C.E.
Abbasid_c,Abbasid Kalifat,,Abbasid Caliphate
Mamluk,1250 - 1517 CE.,,1250 – 1517 C.E.
Mamluk_c,Mamluk Sultanate,,Mamluk Sultanate
ur3,Ur III Dynastie 💋𒀕𒆠,,Ur III dynasty 𒋀𒀕𒆠
hammurabi,Hammurabi 💄𒄠𒈬𒊏𒁉,,Hammurabi 𒄩𒄠𒈬𒊏𒁉
Al-Khwarizmi,al-Khwarizmi schreift Al-Jabr (Algebra),,al-Khwarizmi writes Al-Jabr (Algebra)
al-azhar,Al-Azhar Universitéit ass zu Kairo etabléiert,,Al-Azhar University is established in Cairo
Ibn-Sina,Ibn Sina oder Avicenna,,Ibn Sina or Avicenna
Al-Ghazali,Al-Ghazali,,Al-Ghazali
